Gold_IRR,Date,USD_IRR,Ounce_USD,Oil_USD
126818000.0,2025-12-10,1249300.0,4196.39990234375,62.209999084472656
126797000.0,2025-12-09,1248700.0,4206.7001953125,61.93999862670898
127132000.0,2025-12-08,1262800.0,4187.2001953125,62.4900016784668
127065000.0,2025-12-07,1240050.0,4211.7998046875,63.2599983215332
124496000.0,2025-12-06,1219950.0,4211.7998046875,63.2599983215332
122480000.0,2025-12-04,1197050.0,4211.7998046875,63.2599983215332
122953000.0,2025-12-03,1204550.0,4199.2998046875,62.66999816894531
121208000.0,2025-12-02,1186950.0,4186.60009765625,62.45000076293945
122102000.0,2025-12-01,1189750.0,4239.2998046875,63.16999816894531
120541000.0,2025-11-30,1173800.0,4165.2001953125,63.130001068115234
118343000.0,2025-11-29,1158600.0,4165.2001953125,63.130001068115234
114691000.0,2025-11-27,1141700.0,4165.2001953125,63.130001068115234
114969000.0,2025-11-26,1136400.0,4165.2001953125,63.130001068115234
113556000.0,2025-11-25,1134600.0,4139.2001953125,62.47999954223633
112773000.0,2025-11-23,1137600.0,4056.5,63.380001068115234
111252000.0,2025-11-22,1129100.0,4056.5,63.380001068115234
113494000.0,2025-11-20,1135200.0,4056.5,63.380001068115234
113459000.0,2025-11-19,1133600.0,4077.699951171875,63.5099983215332
111287000.0,2025-11-18,1125500.0,4061.300048828125,64.88999938964844
111829000.0,2025-11-17,1124950.0,4068.300048828125,64.19999694824219
111070000.0,2025-11-16,1121900.0,4186.89990234375,63.0099983215332
112259000.0,2025-11-15,1128300.0,4186.89990234375,63.0099983215332
115583000.0,2025-11-13,1125300.0,4186.89990234375,63.0099983215332
113972000.0,2025-11-12,1126100.0,4204.39990234375,62.709999084472656
110081000.0,2025-11-11,1098400.0,4106.7998046875,65.16000366210938
105711000.0,2025-11-10,1076700.0,4111.7998046875,64.05999755859375
104550000.0,2025-11-09,1078600.0,3979.89990234375,63.380001068115234
104307000.0,2025-11-08,1078050.0,3979.89990234375,63.380001068115234
105019000.0,2025-11-06,1078400.0,3979.89990234375,63.380001068115234
104686000.0,2025-11-05,1078600.0,3980.300048828125,63.52000045776367
104728000.0,2025-11-04,1082150.0,3947.699951171875,64.44000244140625
104885000.0,2025-11-03,1079700.0,4000.300048828125,64.88999938964844
104970000.0,2025-11-02,1083200.0,4001.300048828125,65.0
106263000.0,2025-11-01,1088700.0,4001.300048828125,65.0
103818000.0,2025-10-30,1073000.0,4001.300048828125,65.0
104550000.0,2025-10-29,1069100.0,3983.699951171875,64.91999816894531
103527000.0,2025-10-28,1069300.0,3966.199951171875,64.4000015258789
105453000.0,2025-10-27,1079800.0,4001.89990234375,65.62000274658203
107438000.0,2025-10-26,1078400.0,4125.5,65.98999786376953
106494000.0,2025-10-25,1070200.0,4125.5,65.98999786376953
108953000.0,2025-10-23,1084800.0,4125.5,65.98999786376953
108639000.0,2025-10-22,1075600.0,4044.39990234375,62.59000015258789
109121000.0,2025-10-21,1088900.0,4087.699951171875,61.31999969482422
109742000.0,2025-10-20,1064100.0,4336.39990234375,61.0099983215332
110818000.0,2025-10-19,1083400.0,4280.2001953125,61.060001373291016
108477000.0,2025-10-18,1065000.0,4280.2001953125,61.060001373291016
112741000.0,2025-10-16,1102500.0,4280.2001953125,61.060001373291016
111700000.0,2025-10-15,1095800.0,4176.89990234375,61.90999984741211
108433000.0,2025-10-14,1088900.0,4138.7001953125,62.38999938964844
109345000.0,2025-10-13,1112000.0,4108.60009765625,63.31999969482422
108424000.0,2025-10-12,1121400.0,3946.300048828125,65.22000122070312
109227000.0,2025-10-11,1127000.0,3946.300048828125,65.22000122070312
111427000.0,2025-10-09,1132850.0,3946.300048828125,65.22000122070312
113729000.0,2025-10-08,1156900.0,4043.300048828125,66.25
109299000.0,2025-10-07,1139700.0,3976.60009765625,65.44999694824219
105309000.0,2025-10-06,1111600.0,3948.5,65.47000122070312
106041000.0,2025-10-05,1138700.0,3839.699951171875,64.11000061035156
109548000.0,2025-10-04,1153800.0,3839.699951171875,64.11000061035156
110813000.0,2025-10-02,1178600.0,3839.699951171875,64.11000061035156
109066000.0,2025-10-01,1154400.0,3867.5,65.3499984741211
106741000.0,2025-09-30,1141300.0,3840.800048828125,67.0199966430664
104603000.0,2025-09-29,1120400.0,3820.89990234375,67.97000122070312
