iter	Passed	Remaining
0	1	1128
1	1	906
2	2	785
3	2	740
4	3	698
5	3	662
6	4	643
7	5	636
8	5	631
9	6	618
10	6	607
11	7	592
12	7	582
13	8	571
14	8	560
15	8	547
16	9	537
17	9	527
18	10	518
19	10	511
20	10	503
21	11	496
22	11	490
23	11	484
24	12	479
25	12	474
26	13	470
27	13	465
28	14	481
29	14	484
30	15	481
31	15	477
32	16	476
33	16	474
34	17	473
35	17	472
36	18	474
37	18	472
38	19	471
39	19	470
40	20	468
41	20	466
42	20	465
43	21	463
44	21	462
45	22	462
46	22	460
47	23	458
48	23	456
49	23	455
50	24	454
51	24	454
52	25	452
53	25	450
54	26	448
55	26	446
56	26	444
57	27	442
58	27	440
59	28	439
60	28	437
61	28	437
62	29	435
63	29	433
64	30	432
65	30	432
66	30	431
67	31	432
68	31	431
69	32	432
70	32	431
71	33	430
