Trade_ID,Entry_Date,Entry_Price,Shares,Entry_Value,Entry_Costs,Signal_Confidence,Predicted_Return,Entry_RSI,Exit_Date,Exit_Price,Exit_Value,Exit_Costs,PnL,PnL_Pct,Holding_Days,Exit_Reason
1,2021-01-27,10731000.0,37.27518404622123,400000000.0,2800000.0,0.6,0.0,45.20917678812416,2021-02-02,10883000.0,405665827.9750256,2839660.795825179,26167.179200410843,0.014164569937564066,6,Stop-loss
2,2021-02-07,11310000.0,35.36785737150134,400010466.87168014,2800073.268101761,0.6,-0.0011917347448857207,73.68941641938675,2021-02-11,11649000.0,412000170.5206191,2884001.1936443336,6305629.187192857,0.02997347480106101,4,RSI overbought: 81.5
3,2021-02-13,11529000.0,34.914799075943904,402532718.54655725,2817729.0298259007,0.6,0.016174576039340617,75.49842602308499,2021-02-20,10825000.0,377952699.9970928,2645668.8999796496,-30043416.47927004,-0.061063405325700405,7,Stop-loss
4,2021-03-15,10664000.0,36.619969238076635,390515351.95484924,2733607.4636839447,0.6,0.0073299526905555214,38.34537097833225,2021-03-30,10846000.0,397180186.3561792,2780261.304493254,1150965.6331527233,0.017066766691672917,15,Stop-loss
5,2021-04-14,10454000.0,37.39963059193709,390975738.20811033,2736830.167456772,0.6,-0.0026046523448910583,29.584352078239604,2021-04-21,10117000.0,378372062.69862753,2648604.438890393,-17989110.115829945,-0.03223646451119189,7,Stop-loss
6,2021-05-11,9853000.0,38.950582986073115,383780094.1617784,2686460.659132449,0.6,0.0064810303904514425,39.84615384615385,2021-05-20,10193000.0,397023292.37704325,2779163.0466393027,7777574.509493113,0.03450725667309449,9,RSI overbought: 78.6
7,2021-05-30,11003000.0,35.16233063397034,386891123.9655757,2708237.86775903,0.6,0.008164398904051,81.25,2021-05-31,10980000.0,386082390.36099434,2702576.7325269603,-6219548.204867363,-0.002090338998454967,1,RSI overbought: 75.2
8,2021-06-01,10964000.0,35.06049842061553,384403304.6836287,2690823.132785401,0.6,0.01004786021860474,82.98555377207063,2021-06-03,10793000.0,378407959.4537034,2648855.716175924,-11335024.078886569,-0.0155964976286027,2,RSI overbought: 78.1
9,2021-06-30,10678000.0,35.57494802885128,379869295.05207396,2659085.0653645177,0.6,0.00733155871997304,48.54586129753916,2021-07-31,10975000.0,390435054.61664283,2733045.3823165,5173629.116887867,0.0278141974152463,31,Max holding period (31 days)
10,2021-08-11,11070000.0,34.5021451399123,381938746.6988292,2673571.226891804,0.6,0.0017005982153963195,70.23959646910467,2021-08-15,11488000.0,396360643.3673125,2774524.503571187,8973800.938020289,0.037759710930442635,4,RSI overbought: 76.5
11,2021-08-16,11449000.0,39.2857872524276,449782978.25304365,3148480.8477713056,0.7,0.01014140839782186,73.14453125,2021-08-17,11449000.0,449782978.25304365,3148480.8477713056,-6296961.695542574,0.0,1,RSI overbought: 75.9
12,2021-08-22,11733000.0,32.643780993422,383009482.3958203,2681066.3767707422,0.6,0.008454703016028641,80.84577114427861,2021-08-23,11756000.0,383760289.35866904,2686322.0255106837,-4616581.439432681,0.001960282962584164,1,RSI overbought: 80.9
13,2021-10-02,11608000.0,32.8362206943528,381162849.82004726,2668139.9487403305,0.6,0.0014306089352039808,53.56321839080459,2021-10-28,11716000.0,384709161.65503734,2692964.1315852613,-1814792.2453354597,0.009303928325292901,26,RSI overbought: 84.2
14,2021-11-10,12638000.0,30.102621690292217,380436932.921913,2663058.5304533914,0.6,0.013821396229291561,91.97994987468672,2021-11-11,12638000.0,380436932.921913,2663058.5304533914,-5326117.060906768,0.0,1,RSI overbought: 91.4
15,2021-11-13,12702000.0,29.783222019961453,378306486.0975504,2648145.402682853,0.6,0.01012710238465878,91.85059422750425,2021-11-14,12608000.0,375506863.227674,2628548.042593718,-8076316.315152943,-0.007400409384348922,1,RSI overbought: 85.1
16,2021-12-04,13044000.0,28.754673380212303,375075959.5714893,2625531.717000425,0.6,0.00025435183461564113,72.19140083217754,2022-01-03,12668000.0,364264202.38052946,2549849.4166637063,-15987138.324623942,-0.02882551364612082,30,Max holding period (30 days)
17,2022-01-15,11977000.0,30.782425001389303,368681104.2416397,2580767.729691478,0.6,0.00896368571251944,31.694433157253144,2022-01-30,12167000.0,374529764.99190366,2621708.3549433257,646184.6656291485,0.015863738832762795,15,Stop-loss
18,2022-02-13,12095000.0,30.503478967167535,368939578.1078913,2582577.0467552394,0.6,0.006680647826561881,42.6461143224149,2022-02-19,11730000.0,357805808.28487515,2504640.657994126,-16220987.527765572,-0.030177759404712692,6,Stop-loss
19,2022-02-21,11885000.0,30.496523609321418,362451183.09678507,2537158.2816774957,0.6,0.001932877990496081,44.47468698965705,2022-02-26,12021000.0,366598710.3076528,2566190.9721535696,-955822.042963326,0.011442995372318047,5,Stop-loss
20,2022-02-27,12030000.0,30.097161619251846,362068854.2795997,2534481.979957198,0.6,0.00457739794733632,62.07422470767666,2022-03-08,12238000.0,368329063.8964041,2578303.447274829,1147424.1895723343,0.017290108063175394,9,Stop-loss
21,2022-03-09,12178000.0,29.76907734894306,362527823.9554286,2537694.767688,0.6,0.003927843050469679,62.4492164828787,2022-04-03,12758000.0,379793888.81781554,2658557.2217247086,12069812.872974277,0.04762686812284447,25,RSI overbought: 77.9
